,GISJOIN,GEOID,fid_1,area,0.5,0.75,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,3.25,3.5,3.75,4.0
0,G24000307301003,240037301003,1.0,19326.660787117275,0.01395959437083729,0.01395959437083729,0.01395959437083729,0.01395959437083729,0.01861279249444972,0.023265990618062147,0.023265990618062147,0.02791918874167458,0.02791918874167458,0.02791918874167458,0.02791918874167458,0.02791918874167458,0.02791918874167458,0.02791918874167458,0.02791918874167458
1,G24000307501012,240037501012,2.0,753.538919916642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,G24000307501021,240037501021,3.0,11316.749740214718,0.9774437364343459,0.9933371305227092,0.9933371305227092,0.9933371305227092,0.9933371305227092,0.9933371305227092,0.9933371305227092,0.9933371305227092,0.9933371305227092,0.9933371305227092,0.9933371305227092,0.9933371305227092,0.9933371305227092,0.9933371305227092,0.9933371305227092
3,G24000307502012,240037502012,4.0,1255.5664641338467,0.7878823041803806,0.8595079681967789,0.931133632213177,0.931133632213177,1.0027592962295753,1.0027592962295753,1.0027592962295753,1.0027592962295753,1.0027592962295753,1.0027592962295753,1.0027592962295753,1.0027592962295753,1.0027592962295753,1.0027592962295753,1.0027592962295753
4,G24000307503001,240037503001,5.0,8326.980731793235,0.7019952368631431,0.7235950903050861,0.7343950170260575,0.745194943747029,0.9503935514454862,0.9503935514454862,0.9503935514454862,0.9503935514454862,0.9503935514454862,0.9503935514454862,0.9503935514454862,0.9503935514454862,0.9503935514454862,0.9503935514454862,0.9503935514454862
5,G24000307512003,240037512003,6.0,36346.747528302505,0.0,0.0,0.0,0.0,0.3934050572421818,0.39835354852824695,0.5542310240393001,0.6012416912569193,0.7002115169782229,0.8313465360589501,0.8709344663474716,0.9278421161372212,0.9451618356384492,0.9600073094966448,0.9674300464257426
6,G24000504001001,240054001001,7.0,1003586.7411342134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,G24000504001002,240054001002,8.0,419841.00961977325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,G24000504001003,240054001003,9.0,460366.3517983664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,G24000504002001,240054002001,10.0,574474.3146916516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,G24000504002002,240054002002,11.0,347810.0914589476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,G24000504004001,240054004001,12.0,570142.2244429298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,G24000504004002,240054004002,13.0,2253341.86683725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,G24000504004003,240054004003,14.0,519773.60886947624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,G24000504004004,240054004004,15.0,404087.3861336419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,G24000504004005,240054004005,16.0,5226966.209257368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,G24000504005001,240054005001,17.0,5796918.407069898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,G24000504006001,240054006001,18.0,164545.67941339072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,G24000504006002,240054006002,19.0,311778.9942721041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
